gender,age,civilStatus,childrens,district,health,closeFriends,work,workHoursWeek,familyMembers,familiarIncome,fatherStudy,motherStudy,university,typeExam,elementarySchool,profession,yearStudy,universitySelectionReazon,minToTravel,weekStudyTime,failCourses,AsistancePercentage,midterExam,finalExam,practiceGrade,FinalGrade,StudentPerformance
0,40,0,1,3,2,6,1,36,5,1,1,0,0,1,0,2,4,3,60.0,6.0,0,100,15,16,16.0,15.66666667,2
0,42,1,1,2,0,15,1,30,8,2,1,0,0,1,0,2,4,3,1.0,4.0,0,99,16,15,16.0,15.66666667,2
1,30,1,0,3,0,7,1,40,6,1,0,0,0,1,0,2,4,3,45.0,4.0,0,97,15,14,15.0,14.66666667,2
0,40,0,2,3,0,4,1,54,4,2,1,0,0,1,1,2,4,3,90.0,8.0,0,90,15,14,14.0,14.33333333,2
0,18,1,0,3,0,3,0,0,5,2,1,1,1,1,1,3,1,3,120.0,4.0,0,100,15,17,18.0,16.66666667,2
1,33,1,0,1,0,10,1,30,4,2,1,1,1,1,0,3,1,1,35.0,8.0,0,98,16,17,17.0,16.66666667,2
1,17,1,0,1,2,10,0,0,5,2,1,1,1,0,1,3,1,3,20.0,1.0,0,100,19,18,17.0,18.0,0
0,47,0,2,3,2,10,1,50,4,2,1,1,0,1,0,2,4,1,2.0,10.0,0,100,14,15,14.0,14.33333333,2
0,45,0,3,3,0,4,1,50,5,2,1,1,0,1,1,2,4,2,45.0,3.0,2,40,15,15,14.0,14.66666667,2
0,32,1,2,3,0,5,1,30,6,1,1,0,0,1,0,0,5,3,60.0,8.0,2,60,16,16,15.0,15.66666667,2
0,23,1,0,1,0,6,0,6,4,2,1,1,0,1,1,2,4,3,20.0,4.0,3,100,13,14,16.0,14.33333333,2
0,33,1,0,3,0,5,1,10,5,2,0,0,0,1,0,2,4,3,60.0,4.0,1,95,15,15,16.0,15.33333333,2
0,51,0,1,3,0,3,1,8,3,1,1,1,0,1,0,2,4,3,90.0,6.0,0,100,13,15,16.0,14.66666667,2
1,33,1,0,3,2,2,1,45,2,2,1,0,0,1,0,2,4,3,120.0,8.0,0,100,14,14,18.0,15.33333333,2
0,46,0,2,3,1,5,0,60,4,1,0,0,0,1,0,2,4,3,210.0,6.0,0,100,15,15,16.0,15.33333333,2
0,18,1,0,3,2,5,0,0,5,2,1,1,1,0,1,1,1,3,60.0,4.0,0,90,15,16,16.0,15.66666667,2
